label,quantile,run_log10_s,reference_log10_s,shift_dex,grid,seed,mpi_size
C-g2000-s20260723-r4,0.9,5.5972069979520835,5.679785263627418,-0.08257826567533488,2000,20260723,4
C-g2000-s20260723-r4,0.95,6.1560747387353,6.199334872192218,-0.04326013345691848,2000,20260723,4
C-g2000-s20260723-r4,0.99,7.182395121669172,7.37666592630541,-0.19427080463623803,2000,20260723,4
C-g2000-s20260724-r4,0.01,1.236712611514079,1.1934697320005025,0.043242879513576415,2000,20260724,4
C-g2000-s20260724-r4,0.05,1.9639138410402923,1.943466850837456,0.020446990202836357,2000,20260724,4
C-g2000-s20260724-r4,0.1,2.383482062562189,2.3856583394902815,-0.0021762769280924132,2000,20260724,4
C-g2000-s20260724-r4,0.25,3.588546721351905,3.589462831956626,-0.0009161106047210765,2000,20260724,4
C-g2000-s20260724-r4,0.5,4.230689221476669,4.234375965014967,-0.0036867435382976765,2000,20260724,4
C-g2000-s20260724-r4,0.75,4.918626699199212,4.92987604261806,-0.011249343418848312,2000,20260724,4
C-g2000-s20260724-r4,0.9,5.627515311470788,5.679785263627418,-0.05226995215663077,2000,20260724,4
C-g2000-s20260724-r4,0.95,6.120377650010239,6.199334872192218,-0.07895722218197943,2000,20260724,4
C-g2000-s20260724-r4,0.99,7.062371302857752,7.37666592630541,-0.31429462344765824,2000,20260724,4
C-g1000-s20260722-r30,0.01,1.2222137906282013,1.1934697320005025,0.0287440586276988,1000,20260722,30
C-g1000-s20260722-r30,0.05,1.9438546606404188,1.943466850837456,0.0003878098029628241,1000,20260722,30
C-g1000-s20260722-r30,0.1,2.386766986752716,2.3856583394902815,0.0011086472624346477,1000,20260722,30
C-g1000-s20260722-r30,0.25,3.573674542994257,3.589462831956626,-0.015788288962368835,1000,20260722,30
C-g1000-s20260722-r30,0.5,4.237711889383025,4.234375965014967,0.003335924368058407,1000,20260722,30
C-g1000-s20260722-r30,0.75,4.917214456936742,4.92987604261806,-0.012661585681318144,1000,20260722,30
C-g1000-s20260722-r30,0.9,5.638525743291494,5.679785263627418,-0.041259520335924726,1000,20260722,30
C-g1000-s20260722-r30,0.95,6.157880848911937,6.199334872192218,-0.04145402328028158,1000,20260722,30
C-g1000-s20260722-r30,0.99,7.114392122712003,7.37666592630541,-0.26227380359340735,1000,20260722,30
